,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
1,JOSE ABILIO SILVA DE SANTANA,M,74,0,0,14,0,10,13/02/1965,"247.344,95","33.227,00","39.252,23","40.431,29","42.361,77","47.223,74","35.504,89","9.344,03",,,,"0,00",,"1.108.321,75","111.465,40","110.533,22","110.100,41","110.786,04","110.880,16","111.233,47","110.081,76","111.544,21","110.215,80","111.481,28",,,"33.763,00"
2,AFONSO ANTUNES DA MOTTA,M,90,0,2,33,10,16,08/01/1950,"369.824,33","32.139,72","33.987,87","68.366,38","63.600,42","35.921,80","29.311,40","34.287,44","24.321,70","17.123,36","28.380,57","2.383,67",,"1.032.442,88","104.034,98","104.034,98","103.913,86","100.280,23","99.498,32","99.974,51","104.249,61","105.630,26","105.630,26","105.195,87",,,"33.763,00"
3,ADRIANO ANTÔNIO AVELAR,M,84,7,1,9,0,0,06/09/1969,"240.672,02","26.827,37","31.162,48","34.102,08","32.659,20","43.822,18","18.733,88","26.482,48","14.069,31","6.697,41","6.115,63","0,00",,"1.091.517,67","109.773,26","106.916,25","106.916,25","107.440,95","110.064,42","109.807,22","110.492,94","109.977,54","110.064,42","110.064,42",,,"33.763,00"
4,AFONSO BANDEIRA FLORENCE,M,79,13,0,7,2,15,15/10/1960,"326.342,20","49.117,18","40.471,77","63.232,46","51.564,67","16.600,90","32.319,33","21.335,62","19.915,04","12.458,57","19.326,66","0,00",,"1.113.757,81","111.448,69","111.580,78","111.503,72","111.580,81","111.279,06","111.350,26","110.053,76","111.653,57","111.653,58","111.653,58",,,"33.763,00"
5,ACÁCIO DA SILVA FAVACHO NETO,M,62,30,0,7,10,13,28/09/1983,"374.453,68","55.593,56","68.164,59","36.043,19","33.949,34","34.152,00","31.013,23","28.767,50","36.398,45","24.232,90","26.138,92","0,00",,"1.102.803,66","111.580,74","110.219,17","111.580,74","111.580,74","111.616,38","111.344,83","104.998,59","107.400,25","111.241,11","111.241,11",,,"33.763,00"
6,ADOLFO VIANA DE CASTRO NETO,M,74,18,0,3,0,2,02/02/1981,"325.687,23","52.708,80","40.019,47","45.679,91","28.915,46","51.013,39","21.158,76","53.593,14","17.135,90","6.189,67","9.272,73","0,00",,"1.038.693,82","99.324,67","102.260,18","104.117,05","105.126,72","105.126,72","104.072,48","102.746,18","105.126,72","105.126,72","105.666,38",,,"33.763,00"
7,PAULO SERGIO ABOU ANNI,M,87,3,2,22,1,13,06/11/1966,"302.280,85","27.405,24","16.072,33","68.763,27","67.772,79","75.533,07","13.287,62","13.475,02","2.147,73","3.052,73","13.667,56","1.103,49",,"1.106.081,53","110.146,28","109.221,14","108.215,19","111.647,46","111.647,46","111.647,46","111.520,66","110.906,26","111.574,67","109.554,95",,,"33.763,00"
8,JOSÉ ALFONSO EBERT HAMM,M,82,9,1,23,4,15,25/04/1962,"360.946,22","26.704,69","38.280,59","55.051,73","63.625,31","51.839,35","42.409,07","42.196,47","28.571,50","8.175,08","2.806,25","1.286,18",,"1.113.027,42","111.586,80","111.586,80","111.586,80","109.249,43","111.405,22","111.659,59","111.016,81","111.616,75","111.659,61","111.659,61",,,"33.763,00"
9,ANTONIO JOSE AGUIAR ALBUQUERQUE,M,77,8,7,8,4,8,26/09/1983,"291.592,63","20.904,41","48.923,15","29.493,45","50.213,67","61.247,64","8.046,24","21.729,25","18.453,95","10.715,78","21.287,81","577,28",,"1.070.478,23","111.386,57","111.386,57","111.386,57","111.127,78","111.422,99","111.217,97","109.372,75","91.130,31","101.450,80","100.595,92",,,"33.763,00"
10,ALESSANDRO LUCCIOLA MOLON,M,91,0,1,12,0,28,28/10/1971,"264.688,99","31.570,48","30.384,44","50.567,81","42.126,95","31.402,04","27.611,34","29.589,18","10.440,68","857,51","10.138,56","0,00",,"1.030.438,74","101.372,00","101.372,00","101.372,00","101.372,00","106.377,09","105.013,12","107.668,34","104.046,06","98.184,61","103.661,52",,,"33.763,00"
